,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
0,2384,Hyde Park - Walk to University of Chicago,2613,Rebecca,Not Available,Hyde Park,41.7879,-87.5878,Private room,125,3,250,10/14/2024,2.02,1,343,16
1,7126,Tiny Studio Apartment 94 Walk Score,17928,Sarah,Not Available,West Town,41.90166,-87.68021,Entire home/apt,81,2,569,2/9/2025,2.98,1,275,53
2,10945,The Biddle House (#1),33004,At Home Inn,Not Available,Lincoln Park,41.91196,-87.63981,Entire home/apt,187,4,117,1/2/2025,0.88,6,260,34
3,28749,Quirky Bucktown Loft w/ Parking No Parties,27506,Lauri,Not Available,Logan Square,41.91955,-87.70069,Entire home/apt,196,2,244,3/9/2025,1.4,1,55,47
4,71930,"Rest, Relax and Explore",334241,Michael And Veronica,Not Available,West Town,41.89615,-87.67934,Private room,76,3,129,11/26/2024,0.77,1,0,19
5,94450,Comfy Garden Suite in Andersonville,504470,Mark,Not Available,Edgewater,41.9796,-87.66512,Entire home/apt,109,3,32,10/14/2024,0.99,1,184,10
6,145659,Trendy Roscoe Village 3BR/2BR walk to shops,683529,Joe,Not Available,North Center,41.94342,-87.68121,Entire home/apt,230,32,77,5/5/2024,0.67,23,359,1
7,145690,4BR/2BR Walk to North Ave Beach & Zoo~Close to El,683529,Joe,Not Available,Lincoln Park,41.91289,-87.63864,Entire home/apt,240,32,87,12/2/2024,0.73,23,356,1
8,189821,"Best in Chicago, private, amazing garden space",899757,Meighan,Not Available,Logan Square,41.92918,-87.70219,Entire home/apt,208,3,688,2/17/2025,4.19,1,196,42
9,207218,Historic Pullman Artist Flat - Monthly Rental,1019125,Jb,Not Available,Pullman,41.68843,-87.60712,Entire home/apt,167,32,320,2/1/2025,1.94,3,364,2
10,207351,Pullman Art Studio - One Person - Monthly Rental,1019125,Jb,Not Available,Pullman,41.68954,-87.60786,Entire home/apt,73,32,48,8/25/2024,0.29,3,0,2
11,220333,Pullman School House Apartment - monthly rental,1019125,Jb,Not Available,Pullman,41.68912,-87.60725,Entire home/apt,167,32,6,7/3/2024,0.04,3,365,2
12,225314,Cozy & comfy with AC close to California Blue Line,1173654,Jillian,Not Available,Logan Square,41.92589,-87.69737,Private room,86,2,30,8/3/2024,0.2,1,159,4
13,233933,Lovely Bedroom 3 in a New Renovated Apartment,1224828,Tippi,Not Available,Irving Park,41.95758,-87.7271,Private room,57,2,201,12/29/2024,1.23,2,79,33
14,250354,Close to Michigan Ave and parks,1311953,Ronald,Not Available,Near South Side,41.85923,-87.62198,Entire home/apt,0,180,35,1/15/2018,0.22,1,358,0
15,264547,Steps From the Best Chicago Offers,1387948,Dominic,Not Available,Near West Side,41.88413,-87.64315,Entire home/apt,272,32,63,10/17/2021,0.4,1,362,0
16,289689,"28 Day+ Med student, interns & interim stays.",1376077,Killian,Not Available,Edgewater,41.97806,-87.65676,Private room,39,32,71,12/4/2024,0.44,1,203,3
17,345075,"Spacious, Vintage Hyde Park Apt.3",1746524,Patricia,Not Available,Kenwood,41.80774,-87.59459,Private room,115,2,295,10/27/2024,1.87,1,2,12
18,350347,2bd/2bath Urban Loft w/ 2 pkg spots 1 blk to train,845242,Jay,Not Available,Lake View,41.94107,-87.65492,Entire home/apt,181,3,786,3/2/2025,4.95,1,214,53
19,372929,Lux Urban 3BR/3BA Duplex + Parking!,1876597,Hans,Not Available,West Town,41.89629,-87.65704,Entire home/apt,284,2,311,1/26/2025,2.07,2,309,22
20,404792,Eclectic West Town 2BR w/ Vintage Charm,1844352,Christine,Not Available,West Town,41.88947,-87.66933,Entire home/apt,130,21,225,11/3/2024,1.46,1,25,7
21,464581,"Large, Private Logan Square Studio",2308792,Jonathan,Not Available,Logan Square,41.92518,-87.69549,Entire home/apt,67,32,649,1/29/2025,4.25,1,92,4
22,507517,Private Lincoln Square Garden Apt,2501182,Nate,Not Available,Lincoln Square,41.96678,-87.6973,Entire home/apt,112,2,432,2/17/2025,2.8,1,118,32
23,542067,Logan Square Modern Vintage Garden,2273840,Sarah,Not Available,Logan Square,41.93142,-87.69989,Entire home/apt,145,3,305,8/18/2024,1.97,1,0,2
24,584590,"Spacious Bedroom, steps to El train",2880338,Elizabeth,Not Available,Lincoln Square,41.96528,-87.6831,Private room,37,32,56,1/11/2025,0.37,2,90,4
25,634310,The Stained Glass Apt. Edgewater #1,2915265,Felice,Not Available,Edgewater,41.99688,-87.66449,Private room,64,3,142,11/2/2024,0.93,2,332,22
26,640841,Designer Lakeview Haven. Private Rooftop Oasis!,3200044,James,Not Available,Lake View,41.94256,-87.67171,Entire home/apt,238,4,101,12/30/2024,1.23,1,0,10
27,651742,Edgebrook Lg bdr by golf course,2824576,Jeff,Not Available,Forest Glen,41.99178,-87.75747,Private room,82,2,119,10/16/2024,0.81,2,2,16
28,662034,Edgebrook bdr by golf course,2824576,Jeff,Not Available,Forest Glen,41.99405,-87.75746,Private room,73,2,99,10/14/2024,0.7,2,359,8
